date,seconds
2006-05-04,6.9428
2006-07-12,0.3287
2006-08-27,0.0639
2006-10-13,0.2848
2006-10-22,6.681
2006-12-07,0.3878
2007-02-04,0.0293
2007-04-26,0.0474
2008-01-26,0.2947
2008-03-27,0.0346
2008-05-26,0.3283
2008-07-24,0.998
2009-06-06,0.0299
2011-10-12,0.0285
