position,name,score,love_points
1,georgeabitbol,7696024,
2,Blade,3419100,
3,sdan,2099250,
4,grandbeb,2042081,
5,Petrus,2001913,
6,Darkness,612825,
7,larve_attitude,413183,
8,alde,393196,
9,methilda,278975,
10,Etoile,267066,
11,LaMarion,260488,
12,kapwee,230420,
13,love_yenan,204308,
14,malis,203971,
15,Fleanette,176280,
16,Odalmat,172387,
17,pipo44,118718,
18,Lady,114703,
19,LordGiroll,91006,
20,kiruathecat,82895,
