position,name,score,love_points
1,cat_loic,43831911,
2,Petrus,42216188,
3,kismi,22343954,
4,Sparkette,20797799,
5,NaGon,16420924,
6,yazzz,16145377,
7,angellina666,6388626,
8,Neko,2430710,
9,sakul,2106464,
10,Anti_Spark,1981898,
11,roxann,708202,
12,Saturnia,686180,
13,celianne,468471,
14,marry,268701,
15,katinette87,164450,
16,Bifur,130743,
17,misslaurine05,77015,
18,marvin2,75797,
19,Gnigna,63100,
20,Rukia63,40478,
