position,name,score,love_points
1,Petrus,33289811,
2,Sparkette,20597058,
3,cat_loic,18445431,
4,yazzz,13913990,
5,sdan,7577386,
6,angellina666,6356608,
7,Darkness,3408105,
8,Anti_Spark,1981798,
9,poliotte,848808,
10,celianne,468371,
11,bluppinette,299559,
12,Saturnia,241243,
13,katinette87,141165,
14,batosai,133155,
15,Enirak,125813,
16,Bifur,100182,
17,Fernandobisou,85125,
18,kismi,57920,
19,blue112,56036,
20,Nomika,54581,
