position,name,score,love_points
1,Petrus,19488168,
2,sdan,7577386,
3,Darkness,3246764,
4,cat_loic,2360633,
5,poliotte,840593,
6,yazzz,723335,
7,angellina666,354298,
8,batosai,110776,
9,Enirak,85986,
10,blue112,56036,
11,Liloulove,42585,
12,cadbury,35978,
13,Nomika,32546,
14,Fernandobisou,30498,
15,Anti_Spark,22961,
16,Pierrito,18615,
17,buffylo,16275,
18,Sparkette,14463,
19,liloo59,11804,
20,Tsukasama,10753,
