position,name,score,love_points
1,georgeabitbol,3352166,
2,Blade,3132333,
3,Petrus,1732393,
4,totalbmx,908575,
5,sdan,489067,
6,larve_attitude,413183,
7,Nicolas,319554,
8,grandbeb,268799,
9,boulette,268493,
10,LaMarion,260088,
11,kapwee,230420,
12,love_yenan,204308,
13,Thomas,183217,
14,Odalmat,172387,
15,bibi27,166995,
16,pipo44,118718,
17,malis,111764,
18,Lady,106615,
19,YoOups,81939,
20,MoutonLover,81654,
