position,name,score,love_points
1,Blade,1263800,
2,georgeabitbol,1101352,
3,Petrus,725377,
4,totalbmx,682131,
5,larve_attitude,413183,
6,kapwee,226656,
7,love_yenan,202439,
8,Odalmat,171047,
9,m0nk3y,165328,
10,pipo44,112969,
11,boulette,83645,
12,Lady,82976,
13,Thomas,80727,
14,YoOups,78219,
15,MoutonLover,50417,
16,LaMarion,48057,
17,kiruathecat,47798,
18,psgbizoo,36931,
19,sdan,29691,
20,malis,28059,
