position,name,score,love_points
1,Petrus,16921850,
2,georgeabitbol,12543716,
3,sdan,7421120,
4,methilda,4393932,
5,Blade,3420856,
6,Darkness,3232548,
7,Rincevent,2833049,
8,alde,2254719,
9,Fleanette,2111227,
10,Kikoo,885689,
11,Etoile,566699,
12,LordGiroll,552685,
13,cat_loic,539814,
14,LaMarion,260488,
15,malis,209478,
16,love_yenan,207026,
17,Odalmat,179822,
18,batosai,74896,
19,Enirak,62776,
20,redoudou,50666,
