position,name,score,love_points
1,bite,139608015,
2,cat_loic,88395695,
3,kismi,77277338,
4,robisous,76611738,
5,Petrus,43113030,
6,tyop,24659693,
7,Sparkette,20797799,
8,yazzz,16150184,
9,facepalm,14747621,
10,sakul,12587323,
11,angellina666,6388626,
12,Neko,5458877,
13,marvin2,4197900,
14,blackstek,2347534,
15,Anti_Spark,2054473,
16,Bifur,1088114,
17,misslaurine05,1028988,
18,roxann,957778,
19,Saturnia,861035,
20,mylie,792018,
