position,name,score,love_points
1,Petrus,18854863,
2,sdan,7577036,
3,Darkness,3239633,
4,cat_loic,1763964,
5,Etoile,819674,
6,poliotte,697066,
7,batosai,95476,
8,Enirak,75390,
9,zozo,65235,
10,Liloulove,42583,
11,blue112,33493,
12,cadbury,29890,
13,Nomika,22963,
14,Aliassan,15108,
15,buffylo,13115,
16,angellina666,12369,
17,Pierrito,10445,
18,Fernandobisou,7323,
19,liloo59,6092,
20,admin,5803,
