position,name,score,love_points
1,Petrus,36309162,
2,cat_loic,29752840,
3,Sparkette,20797498,
4,yazzz,16145377,
5,angellina666,6373521,
6,Anti_Spark,1981898,
7,NaGon,1125213,
8,kismi,870322,
9,Saturnia,498625,
10,celianne,468471,
11,katinette87,164450,
12,Bifur,130743,
13,Neko,92753,
14,Maxi,90013,
15,missrock,39138,
16,mylie,33078,
17,Rukia63,27489,
18,shoni,26379,
19,marry,24532,
20,admin,14006,
