position,name,score,love_points
1,Petrus,40424402,
2,cat_loic,35151633,
3,Sparkette,20797499,
4,yazzz,16145377,
5,NaGon,7735138,
6,angellina666,6373721,
7,kismi,5516135,
8,Maxi,2627373,
9,Anti_Spark,1981898,
10,Neko,988730,
11,Saturnia,502499,
12,celianne,468471,
13,marry,268701,
14,sakul,206562,
15,katinette87,164450,
16,Bifur,130743,
17,roxann,55883,
18,missrock,39138,
19,misslaurine05,35580,
20,mylie,33078,
