position,name,score,love_points
1,georgeabitbol,7719847,
2,Petrus,3555322,
3,Blade,3419141,
4,grandbeb,3303520,
5,sdan,2519443,
6,Darkness,803335,
7,methilda,569285,
8,alde,568842,
9,larve_attitude,413183,
10,Etoile,284259,
11,LaMarion,260488,
12,kapwee,230420,
13,Fleanette,207004,
14,love_yenan,204308,
15,malis,203971,
16,Odalmat,172387,
17,LordGiroll,124603,
18,pipo44,118718,
19,Lady,114703,
20,kiruathecat,82895,
