position,name,score,love_points
1,Petrus,17812619,
2,georgeabitbol,12866348,
3,sdan,7576677,
4,methilda,4542355,
5,Blade,3423012,
6,Darkness,3233157,
7,Rincevent,3001924,
8,alde,2497476,
9,cat_loic,1027950,
10,Kikoo,903463,
11,Etoile,614133,
12,batosai,76464,
13,poliotte,75429,
14,Enirak,69616,
15,zozo,59900,
16,MiMiX,42263,
17,Ln,39234,
18,Lain2006,35647,
19,Templar,35071,
20,blue112,26342,
