position,name,score,love_points
1,kismi,219396049,
2,facepalm,199071377,
3,tyop,187045740,
4,ZEAS,182372001,
5,cat_loic,151157344,
6,robisous,109421747,
7,Petrus,43459683,
8,Sparkette,20797799,
9,yazzz,16197955,
10,alzeheimer,15712408,
11,Mr_KaLiMaN,15707811,
12,sakul,14683240,
13,BiD0rD,13386412,
14,Oceane,12744419,
15,Awe_,12443828,
16,Duncan,12166857,
17,Bebeoix,9985036,
18,angellina666,6388626,
19,Neko,5949769,
20,marvin2,4199709,
